Party,Candidate,Votes,Percent
Democratic,Chris Beck,15615,34.42839819204057
Democratic,Mary Doyle,8891,19.603130856575902
Democratic,Rebecca Mueller,8211,18.10384742586264
Democratic,Patty Snow,4111,9.064050270091501
Democratic,Dawn Rasmussen,6706,14.785580421122258
Democratic,Peter Quince,1232,2.716348803880498
Republican,Cliff Bentz,77372,79.60491794845413
Republican,Andrea Carr,5192,5.3418385719430015
Republican,Peter J Larson,14156,14.564535212716704
