Race,Candidate,Party,Votes,Percent
State Assembly District 1,Tenessa Audette,Republican,27389,37.3
State Assembly District 1,Heather Hadwick,Republican,46086,62.7
State Assembly District 2,Chris Rogers,Democratic,62204,70.1
State Assembly District 2,Michael Greer,Republican,26546,29.9
State Assembly District 3,Aaron Draper,Democratic,13979,30.0
State Assembly District 3,"Jamie ""James"" Gallagher (Incumbent)",Republican,32620,70.0
State Senate District 1,Megan Dahle,Republican,72676,73.8
State Senate District 1,David Fennell,Republican,25768,26.2
