Party,Candidate,Votes,Percent
Democratic,Jeff Merkley,456365,93.1813541326364
Democratic,Paul Damian Wells,30487,6.2248856582816074
Republican,Brent Barker,85134,23.277000516756303
Republican,Deborah C Brown,14002,3.8283712880355876
Republican,David A Burch,8688,2.375438490962233
Republican,Russell McAlmond,42073,11.503432738288907
Republican,Jo Rae Perkins,99155,27.110566709410705
Republican,Timothy Skelton,5620,1.5365981030395661
Republican,David Brock Smith,107819,29.479443215591278
