Race,Candidate,Votes,Percent
"Grants Pass School District 7 Director, Position 3",Gary Richardson,1783,51.30935251798561
"Grants Pass School District 7 Director, Position 3",Judy Christensen,1675,48.201438848920866
"Grants Pass School District 7 Director, Position 3",Write-in,17,0.4892086330935252
"Grants Pass School District 7 Director, Position 4",Marjie Wilkie,1339,38.599019890458344
"Grants Pass School District 7 Director, Position 4",Quin Collins Pehrson,2119,61.083885846065144
"Grants Pass School District 7 Director, Position 4",Write-in,11,0.3170942634765062
"Grants Pass School District 7 Director, Position 5",Tom Sheckells,1151,33.62547472976921
"Grants Pass School District 7 Director, Position 5",Cassie Wilkins,2249,65.70260005842829
"Grants Pass School District 7 Director, Position 5",Write-in,23,0.6719252118025124
