Candidate,Party,Votes,Percent
<<<<<<< HEAD
Shirley N. Weber (Incumbent),Democratic,1450807,56.2
Donald P. (Don) Wagner,Republican,1025508,39.7
Gary N. Blenner,Green,45161,1.7
Michael Feinstein,Green,59399,2.3
=======
Shirley N. Weber (Incumbent),Democratic,1299279,57.6
Donald P. (Don) Wagner,Republican,864612,38.3
Gary N. Blenner,Green,40190,1.8
Michael Feinstein,Green,53014,2.3
>>>>>>> cbc84c5e57e29e14d917286fcaeae0ea2967e568
